,Rank,Channel Info,Influence Score,Followers,Avg. Likes,Posts,60-Day Eng Rate,New Post Avg. Likes,Total Likes,Country Or Region,Followers_1,Avg. Likes_1,Posts_1,New Post Avg. Likes_1,Total Likes_1
0,1,cristiano,92,485.2m,8.7m,3.4k,0.013,6.3m,29.1b,Spain,485200000.0,8700000.0,3400.0,6300000.0,29100000000.0
1,2,kyliejenner,91,370.7m,8.2m,7.0k,0.014,5.0m,57.4b,United States,370700000.0,8200000.0,7000.0,5000000.0,57400000000.0
2,3,leomessi,90,363.9m,6.7m,915,0.01,3.5m,6.1b,,363900000.0,6700000.0,7000.0,3500000.0,6100000000.0
3,4,selenagomez,93,348.8m,6.1m,1.9k,0.005,1.7m,11.4b,United States,348800000.0,6100000.0,1900.0,1700000.0,11400000000.0
4,5,therock,91,339.4m,1.8m,6.8k,0.003,932.0k,12.6b,United States,339400000.0,1800000.0,6800.0,932000.0,12600000000.0
5,6,arianagrande,92,333.0m,3.7m,5.0k,0.009,3.1m,18.5b,United States,333000000.0,3700000.0,5000.0,3100000.0,18500000000.0
6,7,kimkardashian,91,330.7m,3.5m,5.7k,0.005,1.7m,19.8b,United States,330700000.0,3500000.0,5700.0,1700000.0,19800000000.0
7,8,beyonce,92,276.1m,3.6m,2.0k,0.008,2.2m,7.3b,United States,276100000.0,3600000.0,2000.0,2200000.0,7300000000.0
8,9,khloekardashian,89,273.9m,2.4m,4.1k,0.002,404.7k,9.8b,United States,273900000.0,2400000.0,4100.0,404700.0,9800000000.0
9,10,justinbieber,91,260.0m,1.9m,7.4k,0.007,1.7m,14.0b,Canada,260000000.0,1900000.0,7400.0,1700000.0,14000000000.0
10,11,kendalljenner,90,258.9m,5.5m,671,0.012,3.0m,3.7b,United States,258900000.0,5500000.0,7400.0,3000000.0,3700000000.0
11,12,natgeo,91,241.1m,298.9k,10.0k,0.001,168.7k,3.0b,United States,241100000.0,298900.0,10000.0,168700.0,3000000000.0
12,13,nike,90,239.2m,316.0k,973,0.001,193.6k,307.5m,United States,239200000.0,316000.0,10000.0,193600.0,307500000.0
13,14,taylorswift,91,226.1m,2.4m,542,0.015,3.3m,1.3b,United States,226100000.0,2400000.0,10000.0,3300000.0,1300000000.0
14,15,jlo,89,223.1m,1.7m,3.2k,0.005,1.2m,5.3b,United States,223100000.0,1700000.0,3200.0,1200000.0,5300000000.0
15,16,virat.kohli,87,215.9m,3.5m,1.4k,0.013,2.7m,5.0b,,215900000.0,3500000.0,1400.0,2700000.0,5000000000.0
16,17,nickiminaj,90,202.7m,2.0m,6.4k,0.004,837.1k,12.9b,United States,202700000.0,2000000.0,6400.0,837100.0,12900000000.0
17,18,kourtneykardash,89,199.4m,1.8m,4.4k,0.007,1.3m,7.8b,United States,199400000.0,1800000.0,4400.0,1300000.0,7800000000.0
18,19,mileycyrus,89,183.6m,1.3m,1.2k,0.004,702.4k,1.6b,,183600000.0,1300000.0,1200.0,702400.0,1600000000.0
19,20,neymarjr,90,179.4m,2.7m,5.3k,0.012,2.2m,14.4b,Brazil,179400000.0,2700000.0,5300.0,2200000.0,14400000000.0
20,21,katyperry,92,173.3m,714.8k,2.1k,0.002,302.9k,1.5b,,173300000.0,714800.0,2100.0,302900.0,1500000000.0
21,22,kevinhartreal,88,154.2m,498.0k,8.3k,0.001,137.6k,4.1b,United States,154200000.0,498000.0,8300.0,137600.0,4100000000.0
22,23,zendaya,87,153.3m,5.9m,3.5k,0.049,7.5m,20.8b,United States,153300000.0,5900000.0,3500.0,7500000.0,20800000000.0
23,24,iamcardib,75,141.3m,3.1m,1.6k,0.015,2.0m,5.0b,United States,141300000.0,3100000.0,1600.0,2000000.0,5000000000.0
24,25,ddlovato,88,140.6m,1.1m,105,0.002,305.1k,113.3m,United States,140600000.0,1100000.0,1600.0,305100.0,113300000.0
25,26,badgalriri,88,136.3m,3.7m,4.8k,0.051,6.9m,18.0b,United States,136300000.0,3700000.0,4800.0,6900000.0,18000000000.0
26,27,kingjames,86,133.7m,2.1m,2.4k,0.008,1.0m,4.9b,,133700000.0,2100000.0,2400.0,1000000.0,4900000000.0
27,28,realmadrid,90,125.8m,989.6k,7.1k,0.005,682.0k,7.1b,Spain,125800000.0,989600.0,7100.0,682000.0,7100000000.0
28,29,theellenshow,87,125.5m,412.7k,10.0k,0.001,59.2k,4.1b,United States,125500000.0,412700.0,10000.0,59200.0,4100000000.0
29,30,champagnepapi,85,121.4m,1.7m,5.2k,0.012,1.4m,9.0b,Netherlands,121400000.0,1700000.0,5200.0,1400000.0,9000000000.0
30,31,chrisbrownofficial,86,121.2m,450.0k,7.4k,0.002,237.9k,3.4b,United States,121200000.0,450000.0,7400.0,237900.0,3400000000.0
31,32,fcbarcelona,90,112.5m,1.1m,10.0k,0.007,807.2k,11.5b,,112500000.0,1100000.0,10000.0,807200.0,11500000000.0
32,33,billieeilish,73,106.4m,8.4m,710,0.047,4.9m,6.0b,,106400000.0,8400000.0,10000.0,4900000.0,6000000000.0
33,34,gal_gadot,85,88.0m,1.4m,1.7k,0.008,735.9k,2.3b,United States,88000000.0,1400000.0,1700.0,735900.0,2300000000.0
34,35,dualipa,74,87.3m,2.1m,1.3k,0.017,1.5m,2.7b,United Kingdom,87300000.0,2100000.0,1300.0,1500000.0,2700000000.0
35,36,vindiesel,88,83.2m,1.4m,1.8k,0.006,505.8k,2.5b,United States,83200000.0,1400000.0,1800.0,505800.0,2500000000.0
36,37,nasa,88,83.1m,1.2m,3.6k,0.014,1.1m,4.3b,United States,83100000.0,1200000.0,3600.0,1100000.0,4300000000.0
37,38,priyankachopra,85,82.7m,1.6m,3.6k,0.008,644.6k,5.6b,United States,82700000.0,1600000.0,3600.0,644600.0,5600000000.0
38,39,lalalalisa_m,70,82.6m,6.0m,893,0.088,7.2m,5.3b,,82600000.0,6000000.0,3600.0,7200000.0,5300000000.0
39,40,snoopdogg,86,76.7m,211.4k,10.0k,0.004,278.0k,2.1b,,76700000.0,211400.0,10000.0,278000.0,2100000000.0
40,41,Shakira,88,76.2m,976.1k,2.0k,0.004,281.8k,1.9b,,76200000.0,976100.0,2000.0,281800.0,1900000000.0
41,42,gigihadid,85,75.9m,2.4m,3.3k,0.015,1.1m,7.9b,United States,75900000.0,2400000.0,3300.0,1100000.0,7900000000.0
42,43,davidbeckham,86,75.4m,1.2m,1.6k,0.007,517.7k,1.9b,United States,75400000.0,1200000.0,1600.0,517700.0,1900000000.0
43,44,shraddhakapoor,81,75.2m,1.6m,1.9k,0.016,1.2m,3.0b,,75200000.0,1600000.0,1900.0,1200000.0,3000000000.0
44,45,victoriassecret,88,73.4m,144.8k,3.0k,0.0,25.9k,432.0m,United States,73400000.0,144800.0,3000.0,25900.0,432000000.0
45,46,k.mbappe,86,72.7m,2.4m,1.2k,0.018,1.3m,2.8b,,72700000.0,2400000.0,1200.0,1300000.0,2800000000.0
46,47,nehakakkar,84,71.4m,1.5m,2.3k,0.008,585.9k,3.4b,India,71400000.0,1500000.0,2300.0,585900.0,3400000000.0
47,48,aliaabhatt,82,71.2m,1.8m,1.9k,0.017,1.2m,3.3b,India,71200000.0,1800000.0,1900.0,1200000.0,3300000000.0
48,49,nba,87,71.1m,368.0k,12.8k,0.003,216.2k,4.7b,United States,71100000.0,368000.0,12800.0,216200.0,4700000000.0
49,50,jennierubyjane,76,70.5m,5.2m,887,0.078,5.4m,4.6b,,70500000.0,5200000.0,12800.0,5400000.0,4600000000.0
50,51,shawnmendes,83,70.5m,3.5m,2.5k,0.025,1.8m,8.8b,Canada,70500000.0,3500000.0,2500.0,1800000.0,8800000000.0
51,52,narendramodi,85,70.2m,3.0m,549,0.037,2.6m,1.6b,India,70200000.0,3000000.0,2500.0,2600000.0,1600000000.0
52,53,deepikapadukone,83,69.3m,1.5m,285,0.009,616.3k,434.6m,India,69300000.0,1500000.0,2500.0,616300.0,434600000.0
53,54,ronaldinho,78,68.1m,868.9k,3.0k,0.007,480.1k,2.6b,Brazil,68100000.0,868900.0,3000.0,480100.0,2600000000.0
54,55,tomholland2013,77,68.1m,5.4m,1.2k,0.117,7.9m,6.6b,,68100000.0,5400000.0,1200.0,7900000.0,6600000000.0
55,56,bts.bighitofficial,78,68.1m,4.1m,1.2k,0.041,2.8m,5.0b,Uruguay,68100000.0,4100000.0,1200.0,2800000.0,5000000000.0
56,57,emmawatson,87,67.9m,1.6m,379,0.007,467.8k,622.7m,United States,67900000.0,1600000.0,1200.0,467800.0,622700000.0
57,58,katrinakaif,85,67.5m,1.7m,1.0k,0.024,1.6m,1.8b,India,67500000.0,1700000.0,1000.0,1600000.0,1800000000.0
58,59,marvel,82,66.6m,330.5k,7.2k,0.004,289.7k,2.4b,Turkey,66600000.0,330500.0,7200.0,289700.0,2400000000.0
59,60,justintimberlake,87,66.5m,602.0k,785,0.013,842.9k,472.6m,United States,66500000.0,602000.0,7200.0,842900.0,472600000.0
60,61,camila_cabello,77,65.4m,1.8m,2.9k,0.014,926.8k,5.4b,United States,65400000.0,1800000.0,2900.0,926800.0,5400000000.0
61,62,sooyaaa__,82,64.7m,4.7m,876,0.076,4.9m,4.1b,,64700000.0,4700000.0,2900.0,4900000.0,4100000000.0
62,63,raffinagita1717,83,64.4m,386.2k,9.8k,0.004,262.8k,3.8b,Indonesia,64400000.0,386200.0,9800.0,262800.0,3800000000.0
63,64,jacquelinef143,85,63.6m,1.1m,2.4k,0.007,413.8k,2.8b,India,63600000.0,1100000.0,2400.0,413800.0,2800000000.0
64,65,roses_are_rosie,82,63.5m,4.7m,854,0.073,4.6m,4.0b,,63500000.0,4700000.0,2400.0,4600000.0,4000000000.0
65,66,akshaykumar,85,63.5m,1.5m,1.9k,0.01,631.4k,2.8b,,63500000.0,1500000.0,1900.0,631400.0,2800000000.0
66,67,willsmith,82,63.4m,1.4m,1.4k,0.016,1.0m,1.9b,United States,63400000.0,1400000.0,1400.0,1000000.0,1900000000.0
67,68,anitta,82,63.3m,857.7k,5.1k,0.01,595.7k,4.4b,United States,63300000.0,857700.0,5100.0,595700.0,4400000000.0
68,69,maluma,84,62.9m,1.2m,8.2k,0.01,604.2k,9.7b,Colombia,62900000.0,1200000.0,8200.0,604200.0,9700000000.0
69,70,psg,86,62.7m,499.4k,10.1k,0.006,347.8k,5.1b,France,62700000.0,499400.0,10100.0,347800.0,5100000000.0
70,71,manchesterunited,85,60.8m,390.0k,9.8k,0.008,467.5k,3.8b,United Kingdom,60800000.0,390000.0,9800.0,467500.0,3800000000.0
71,72,anushkasharma,85,60.4m,1.9m,1.2k,0.027,1.7m,2.3b,,60400000.0,1900000.0,1200.0,1700000.0,2300000000.0
72,73,marcelotwelve,86,59.0m,694.7k,2.7k,0.011,665.5k,1.9b,Brazil,59000000.0,694700.0,2700.0,665500.0,1900000000.0
73,74,whinderssonnunes,79,58.8m,1.6m,2.8k,0.009,505.9k,4.4b,Brazil,58800000.0,1600000.0,2800.0,505900.0,4400000000.0
74,75,milliebobbybrown,80,58.6m,4.1m,290,0.082,4.8m,1.2b,United States,58600000.0,4100000.0,2800.0,4800000.0,1200000000.0
75,76,karimbenzema,42,58.3m,863.1k,2.0k,0.017,989.2k,1.8b,Spain,58300000.0,863100.0,2000.0,989200.0,1800000000.0
76,77,gag,86,58.0m,662.0k,10.0k,0.005,268.4k,6.6b,United States,58000000.0,662000.0,10000.0,268400.0,6600000000.0
77,78,karolg,83,56.8m,3.1m,3.3k,0.09,5.1m,10.3b,India,56800000.0,3100000.0,3300.0,5100000.0,10300000000.0
78,79,chrishemsworth,86,56.0m,2.6m,899,0.023,1.3m,2.3b,Australia,56000000.0,2600000.0,3300.0,1300000.0,2300000000.0
79,80,iamzlatanibrahimovic,86,55.8m,1.5m,881,0.01,552.9k,1.3b,,55800000.0,1500000.0,3300.0,552900.0,1300000000.0
80,81,paulpogba,80,55.5m,1.4m,1.3k,0.01,553.7k,1.8b,France,55500000.0,1400000.0,1300.0,553700.0,1800000000.0
81,82,zacefron,86,55.2m,2.3m,669,0.031,1.7m,1.5b,United States,55200000.0,2300000.0,1300.0,1700000.0,1500000000.0
82,83,juventus,87,55.1m,194.0k,9.9k,0.003,150.4k,1.9b,,55100000.0,194000.0,9900.0,150400.0,1900000000.0
83,84,bellahadid,79,55.1m,1.2m,3.2k,0.02,1.1m,3.7b,United Kingdom,55100000.0,1200000.0,3200.0,1100000.0,3700000000.0
84,85,leonardodicaprio,86,55.1m,396.6k,1.7k,0.005,283.7k,675.9m,,55100000.0,396600.0,1700.0,283700.0,675900000.0
85,86,beingsalmankhan,76,54.5m,1.4m,1.2k,0.02,1.1m,1.7b,India,54500000.0,1400000.0,1200.0,1100000.0,1700000000.0
86,87,tatawerneck,86,54.3m,958.9k,5.6k,0.01,515.3k,5.4b,Brazil,54300000.0,958900.0,5600.0,515300.0,5400000000.0
87,88,sunnyleone,84,54.1m,748.2k,4.7k,0.006,330.8k,3.5b,,54100000.0,748200.0,4700.0,330800.0,3500000000.0
88,89,dishapatani,74,53.7m,1.6m,2.2k,0.015,783.6k,3.4b,United States,53700000.0,1600000.0,2200.0,783600.0,3400000000.0
89,90,sergioramos,87,53.5m,983.7k,2.3k,0.012,652.7k,2.2b,,53500000.0,983700.0,2300.0,652700.0,2200000000.0
